N,P,K,pH,Moisture,Fertility
65.13,0.0,24.85,5.61,12.86,Medium
38.33,13.25,29.81,6.5,53.69,Medium
101.62,19.13,12.73,6.56,20.5,Medium
92.72,0.0,0.12,6.73,56.05,Medium
57.45,42.75,33.87,5.09,51.22,Medium
31.65,16.44,45.1,5.44,70.53,Medium
55.16,31.01,15.6,5.89,69.8,Medium
44.95,14.1,43.11,7.31,5.0,Medium
9.64,26.32,34.91,5.05,58.48,Medium
133.23,66.6,40.94,5.11,66.57,High
49.08,0.0,19.54,5.85,13.56,Medium
27.3,26.99,21.65,6.24,24.98,Medium
84.59,37.25,16.85,5.92,50.72,Medium
79.19,23.74,46.78,6.73,38.62,Medium
134.72,17.72,1.51,5.54,56.85,Medium
37.6,34.68,26.72,6.33,79.76,Medium
17.1,53.16,55.39,7.21,47.45,High
61.96,24.48,25.22,4.67,41.85,Medium
7.29,48.5,0.0,7.7,50.24,Medium
37.9,23.05,2.6,5.49,64.87,Low
63.91,32.93,38.52,5.25,41.74,Medium
18.74,7.22,8.34,4.05,52.47,Low
57.59,29.51,8.24,8.61,46.84,Medium
84.14,6.4,13.68,7.48,24.4,Medium
41.87,28.16,25.97,6.22,48.44,Medium
57.52,19.67,9.11,6.67,52.95,Medium
45.24,67.77,50.23,4.09,76.04,Medium
33.54,11.45,26.67,5.5,76.38,Low
83.1,38.12,19.68,6.15,45.81,High
71.7,15.25,36.82,5.18,49.21,Medium
2.82,87.09,0.0,6.2,90.82,Medium
26.17,17.56,0.0,8.38,47.09,Low
0.0,15.12,25.28,6.85,15.22,Medium
40.34,53.5,23.78,5.75,32.81,Medium
54.42,68.37,9.7,5.4,57.89,Medium
108.34,17.72,47.15,5.3,13.54,Medium
60.41,27.51,0.0,4.8,26.54,Low
32.64,16.47,23.81,6.64,32.78,Medium
84.96,31.56,27.07,6.38,57.95,High
60.16,14.09,5.78,5.59,39.29,Low
3.65,15.44,2.05,9.0,45.96,Low
48.45,15.81,38.05,5.74,60.28,Medium
99.58,27.99,11.38,5.99,55.94,Medium
63.18,23.71,61.29,7.83,9.89,Medium
111.4,23.65,63.01,4.19,33.73,Medium
80.27,18.0,40.56,7.59,42.74,High
128.04,26.15,20.55,8.36,19.84,Medium
98.17,55.3,47.43,6.82,31.74,High
67.53,47.8,58.25,8.44,47.53,Medium
81.55,45.69,18.0,6.7,14.98,High
50.35,71.72,20.08,3.94,32.41,Medium
62.5,2.35,19.75,5.95,47.0,Medium
56.38,29.85,37.14,7.25,44.4,Medium
62.51,31.7,68.59,7.49,57.9,High
37.83,27.66,40.45,6.03,34.83,Medium
45.43,29.65,36.04,7.18,74.74,Medium
93.08,42.06,40.61,5.31,46.07,High
51.61,34.01,76.91,6.38,37.79,Medium
80.71,17.86,28.06,6.98,55.91,High
10.67,36.92,24.03,5.01,21.44,Low
36.73,50.66,21.24,7.2,28.97,Medium
81.99,38.42,17.85,5.24,31.82,Medium
72.1,25.63,23.06,6.47,58.16,Medium
55.89,18.08,30.13,6.54,38.63,Medium
87.24,32.01,25.17,4.51,49.22,Medium
26.49,43.68,38.29,6.24,37.04,Medium
51.29,0.0,12.47,7.84,7.0,Low
105.24,7.89,25.47,6.19,67.34,Medium
85.67,11.43,50.85,4.33,33.04,Medium
49.87,7.86,17.96,5.02,40.98,Medium
86.27,19.3,9.7,8.3,29.88,Medium
46.47,57.06,25.54,5.24,85.74,Medium
95.69,18.99,100.0,6.31,17.95,High
112.17,50.18,43.13,6.08,5.01,High
44.8,23.79,1.71,5.69,54.54,Medium
14.99,23.81,33.04,6.81,68.91,Medium
42.34,13.57,13.9,9.0,45.67,Low
85.1,28.78,35.88,8.16,26.64,Medium
67.44,47.81,23.01,6.91,39.83,Medium
79.47,33.51,37.04,7.01,72.08,Medium
67.63,25.63,13.53,7.08,40.14,Medium
13.0,10.02,40.46,6.69,55.1,Medium
36.3,5.83,38.81,6.46,53.11,Medium
23.77,15.16,28.15,5.49,53.09,Medium
62.59,29.17,23.29,6.41,37.28,Medium
33.58,44.59,20.89,7.32,53.77,Medium
88.2,47.72,53.07,6.07,5.0,High
61.25,62.05,4.96,7.28,25.57,Medium
47.4,28.99,32.88,7.3,36.66,Medium
74.91,6.3,17.02,6.17,51.23,Medium
78.18,33.14,14.96,6.52,49.75,Medium
66.48,38.19,20.2,6.69,39.43,Medium
71.91,59.03,68.18,5.58,25.81,Medium
83.42,28.85,24.14,6.82,45.25,High
100.89,51.75,11.51,6.11,38.01,Medium
64.16,18.56,58.23,5.83,62.4,Medium
88.76,15.61,26.72,5.96,62.29,Medium
17.73,30.14,34.84,3.72,40.93,Medium
71.14,28.56,30.7,7.55,67.8,Medium
96.32,75.13,76.51,6.94,55.23,High
19.24,42.1,47.96,6.04,43.82,High
49.01,25.66,65.01,4.83,89.48,Medium
27.71,19.75,56.55,7.08,36.55,Medium
62.41,10.86,1.96,6.79,56.84,Medium
28.06,35.51,20.63,6.31,46.06,Medium
117.71,42.81,6.56,7.12,60.45,High
40.16,23.43,36.05,5.7,39.51,Medium
45.88,30.64,29.67,6.37,56.17,Medium
95.23,38.55,54.15,6.31,54.87,High
0.0,24.91,39.62,5.25,49.63,Medium
60.05,15.48,37.66,5.32,53.77,Medium
85.06,48.61,24.72,5.12,53.7,Medium
42.89,40.17,19.7,7.57,20.49,Medium
83.62,43.07,0.0,7.84,46.47,Medium
99.2,38.19,47.56,7.68,74.96,Medium
104.5,20.57,0.0,6.19,30.76,Medium
5.87,11.41,52.82,4.59,59.73,Medium
48.14,69.78,38.77,6.4,28.19,Medium
65.14,9.76,46.22,5.36,72.59,Medium
51.96,19.71,50.05,6.8,9.65,Medium
31.0,46.22,6.2,5.68,79.55,Medium
93.46,30.2,29.52,5.66,34.56,Medium
47.66,20.37,43.07,6.22,52.51,High
78.13,39.47,51.47,7.47,63.44,High
27.53,14.34,29.19,5.7,41.28,Medium
16.5,38.93,0.0,5.89,94.1,Low
25.29,23.39,22.04,4.63,63.89,Medium
26.51,39.53,14.76,7.03,31.8,Medium
44.39,8.62,32.08,7.29,54.67,Medium
50.52,0.0,24.15,6.45,61.31,Medium
73.5,22.06,0.0,6.01,94.15,Medium
85.45,21.33,43.66,6.09,65.61,High
43.86,45.05,28.0,5.69,38.94,Medium
22.17,33.4,2.15,6.86,49.57,Medium
69.12,8.1,61.74,5.17,22.79,Medium
106.02,36.62,38.38,5.9,75.09,Medium
101.02,45.07,53.52,7.54,68.22,High
60.32,68.93,23.29,6.65,24.65,Medium
81.6,34.01,37.49,7.41,25.78,Medium
97.32,14.27,15.87,6.22,49.05,Medium
42.76,42.26,53.12,5.65,24.65,Medium
58.82,9.78,22.83,7.87,66.19,Medium
104.21,11.87,10.62,5.28,22.93,Low
56.57,25.84,34.42,6.48,51.53,Medium
115.51,43.61,7.32,6.5,73.65,Medium
22.58,18.18,25.02,7.21,81.72,Medium
46.95,10.78,27.77,6.42,40.33,Medium
83.78,0.0,10.82,5.32,14.89,Low
58.4,42.25,63.06,6.81,49.14,High
99.42,50.1,28.26,7.0,22.56,High
130.76,46.58,20.37,6.81,35.32,High
47.07,9.43,15.05,6.96,53.14,Medium
53.44,21.68,5.97,6.56,5.0,Medium
24.37,77.14,24.59,7.49,56.57,Medium
67.11,35.29,5.86,7.03,29.57,Medium
13.74,43.92,0.0,3.83,54.9,Medium
53.73,24.76,9.9,6.51,44.24,Medium
85.86,23.98,19.06,6.9,48.69,High
86.43,57.99,30.03,5.71,42.91,High
62.4,35.89,26.6,6.74,40.09,Medium
49.84,9.35,7.46,5.66,62.97,Medium
0.0,48.01,0.0,5.83,29.61,Medium
59.18,46.31,16.93,8.64,70.82,Medium
55.19,47.7,4.58,6.86,57.27,Medium
51.75,48.52,23.39,7.27,59.61,High
104.25,35.57,25.83,7.55,16.98,Medium
38.24,62.37,29.34,7.5,47.21,Medium
19.55,47.44,50.04,5.74,41.12,Medium
70.38,42.06,43.04,7.07,54.08,High
23.11,39.04,68.65,5.36,53.78,Medium
114.61,13.87,3.5,5.38,57.87,Medium
44.66,30.79,31.49,7.37,72.82,Medium
31.39,7.18,28.09,6.37,53.98,Medium
5.7,6.26,41.21,7.73,64.57,Medium
41.87,46.43,23.12,6.56,47.68,High
93.94,19.8,21.99,4.98,83.98,Medium
26.07,22.03,28.98,4.85,54.14,Medium
55.53,6.07,45.35,5.91,32.22,Medium
59.17,38.62,44.43,6.64,50.88,High
98.68,0.96,18.33,6.58,75.38,Medium
27.51,18.93,36.74,5.69,62.43,Medium
83.86,0.0,27.01,6.28,34.04,Medium
7.95,20.88,34.99,6.06,31.65,Medium
83.25,55.1,83.97,7.2,28.06,High
26.47,0.0,28.97,5.79,80.1,Low
89.31,30.78,21.89,7.21,39.21,Medium
8.6,39.88,38.58,6.85,5.0,Medium
71.99,66.05,0.0,5.32,53.16,Medium
48.83,69.32,30.87,5.23,33.18,Medium
52.5,11.35,58.63,6.0,42.05,Medium
103.54,49.83,43.8,6.93,80.32,High
44.86,6.05,51.11,7.52,62.04,Medium
32.65,50.78,18.32,4.57,20.89,Medium
32.02,9.29,31.87,7.06,69.45,Medium
62.26,33.18,36.27,7.95,50.02,Medium
63.66,38.57,58.06,4.78,39.56,Medium
58.58,41.3,27.73,6.19,68.65,High
24.79,32.27,31.34,8.14,64.93,Medium
69.51,39.7,21.59,5.42,79.84,Medium
87.67,34.31,2.33,7.23,90.74,Medium
31.69,40.32,54.47,5.3,33.07,Medium
54.32,55.31,0.0,6.47,20.18,Medium
48.59,71.76,51.75,5.78,30.75,Medium
71.32,60.04,20.85,6.1,81.7,Medium
30.5,39.16,48.77,6.04,57.64,Medium
0.0,30.27,0.0,5.65,22.98,Low
72.36,30.37,49.37,6.33,52.12,High
60.27,65.78,35.4,6.62,33.25,Medium
56.59,76.18,18.47,6.46,45.4,High
64.66,35.64,27.24,7.98,73.84,Medium
39.81,46.08,64.77,6.37,23.48,Medium
62.46,19.41,74.4,5.09,53.71,Medium
66.82,36.51,58.92,5.93,95.0,Medium
110.28,28.96,11.56,4.46,45.07,Medium
59.75,58.49,19.11,7.45,50.16,High
88.41,0.0,13.4,6.92,38.93,Medium
40.82,29.63,4.33,6.45,53.75,Medium
20.1,16.03,48.83,4.44,21.52,Medium
80.98,50.35,38.07,7.06,82.49,High
16.13,0.0,61.55,5.16,39.72,Low
73.3,38.57,84.69,6.94,41.93,High
66.71,28.65,46.94,7.31,48.41,High
59.55,46.51,10.86,7.79,64.52,Medium
103.85,34.87,0.0,5.06,29.76,Medium
73.46,35.52,42.46,7.97,38.16,Medium
43.62,20.15,8.78,6.67,66.71,Medium
66.19,5.0,14.46,6.78,38.56,Medium
87.1,27.45,62.65,7.57,68.96,High
24.87,0.0,0.46,6.34,58.42,Medium
60.33,68.91,16.44,7.32,42.87,High
93.81,39.2,16.63,6.54,22.48,Medium
48.04,15.72,16.84,5.68,46.61,Medium
52.42,32.73,36.22,6.49,91.48,Medium
88.41,59.09,22.69,6.22,33.67,High
88.33,20.23,21.7,6.05,54.18,High
55.21,39.64,38.59,5.61,26.59,Medium
53.87,48.02,72.3,4.96,49.83,Medium
82.32,44.16,50.7,5.56,57.36,High
57.72,6.83,61.76,7.29,42.17,Medium
62.91,42.5,22.27,4.69,34.09,Medium
52.08,37.42,64.87,6.16,35.53,Medium
67.43,1.17,0.0,6.69,80.68,Medium
38.4,47.45,24.82,6.06,56.77,Medium
40.15,34.12,18.47,6.72,49.89,Medium
81.48,41.77,32.77,6.6,46.88,High
25.83,40.58,37.34,6.88,40.37,Medium
35.43,16.58,82.21,5.66,55.92,Medium
40.17,41.65,7.0,5.53,46.53,Medium
40.46,0.0,58.92,7.26,64.34,Medium
43.38,44.91,16.6,6.6,47.31,High
75.02,34.33,54.9,5.73,37.53,Medium
64.23,15.24,16.11,7.09,5.0,Medium
12.39,14.61,45.11,4.27,53.26,Medium
40.9,26.85,31.56,6.19,44.25,Medium
92.03,60.67,37.15,5.76,80.11,Medium
40.63,35.28,56.53,5.03,43.32,Medium
61.37,19.1,32.59,6.24,60.09,Medium
55.21,57.91,22.7,5.19,34.97,Medium
18.55,57.45,0.0,8.1,14.09,Low
69.13,15.35,0.0,4.99,30.18,Low
103.31,26.61,55.46,5.85,83.9,Medium
90.89,26.23,44.1,5.77,16.06,Medium
6.99,24.58,20.3,6.51,51.49,Medium
68.89,23.09,52.72,6.31,52.31,High
81.07,16.52,24.41,7.08,48.37,High
28.61,0.0,46.42,7.5,77.28,Medium
110.35,68.48,61.26,7.02,23.0,High
47.01,23.07,79.61,7.72,56.53,Medium
56.09,64.07,49.93,5.45,39.37,Medium
48.71,35.27,45.26,6.28,62.38,High
98.52,53.56,34.08,6.83,56.69,High
85.76,3.93,78.05,6.01,62.29,High
88.9,43.45,48.84,4.96,66.76,High
130.83,36.93,36.73,7.4,51.63,High
30.05,9.28,17.85,6.55,65.68,Medium
35.19,53.33,11.87,4.61,60.94,Medium
2.7,0.0,15.39,6.08,64.96,Medium
7.49,58.6,47.08,5.97,47.23,Medium
80.35,39.86,26.49,7.8,44.41,Medium
26.02,36.96,30.89,6.75,24.05,Medium
57.55,22.77,9.24,8.54,71.39,Low
143.01,22.79,29.68,6.44,43.68,High
92.58,46.62,25.8,7.39,71.22,High
22.86,36.64,0.0,5.61,43.38,Medium
116.22,25.18,25.67,6.99,26.32,Medium
0.0,40.78,46.07,7.43,58.31,High
106.02,39.84,21.62,7.16,29.8,Medium
68.78,76.43,2.07,5.39,66.19,Medium
79.33,51.92,55.08,5.49,66.27,Medium
57.68,51.7,30.87,7.61,69.66,Medium
97.85,8.47,39.07,6.24,50.87,Medium
93.65,17.81,49.8,6.16,46.4,High
81.83,31.51,36.64,6.66,69.42,High
40.94,51.14,65.98,6.68,54.91,High
35.58,7.98,42.3,7.29,42.5,Medium
0.0,56.58,82.22,7.44,49.95,High
69.23,36.21,33.95,4.63,65.26,Medium
57.98,36.57,7.44,5.2,62.48,Medium
95.25,56.26,23.35,6.61,86.04,High
68.68,54.83,31.16,4.92,49.45,Medium
91.48,0.0,51.67,5.06,66.34,Medium
30.38,25.03,25.19,6.54,49.45,Medium
49.58,48.73,23.38,7.32,24.33,Medium
20.06,6.58,61.17,5.72,34.0,Medium
61.29,0.0,43.59,5.77,42.18,Medium
44.22,29.21,38.03,6.89,39.77,Medium
36.34,37.97,33.7,7.37,60.07,Medium
48.71,0.0,45.03,6.92,67.35,Medium
64.75,0.0,24.46,7.45,38.75,Medium
40.05,39.43,44.58,6.27,41.35,High
72.78,3.76,36.52,7.9,54.67,Medium
84.51,55.14,51.35,5.22,62.24,High
46.26,33.75,30.32,5.64,41.86,Medium
89.21,36.48,12.03,6.67,51.27,Medium
107.22,8.97,47.38,5.51,5.0,Medium
0.0,0.0,37.56,6.91,80.57,Medium
58.93,43.17,25.21,6.85,60.28,High
49.15,29.49,40.86,7.08,29.75,Medium
78.44,58.23,64.82,7.02,59.39,High
63.5,0.0,42.5,7.49,58.12,Medium
12.21,34.73,30.49,6.58,65.1,Medium
4.7,2.37,68.05,6.08,51.8,Medium
47.55,40.02,38.74,6.01,59.94,High
18.72,16.97,22.4,6.32,43.64,Medium
78.96,58.75,11.93,6.6,68.0,Medium
31.78,9.97,30.81,6.5,35.35,Medium
26.52,12.49,43.77,6.22,32.55,Medium
61.8,52.29,0.0,7.05,32.02,Medium
51.24,9.03,58.34,4.98,25.61,Medium
65.7,40.59,38.29,6.6,43.36,High
81.06,15.2,54.7,8.45,74.22,Medium
35.95,33.97,73.04,7.04,50.72,Medium
79.57,0.0,34.52,6.56,54.97,Medium
85.55,39.28,57.71,5.58,48.16,High
69.19,25.45,38.77,5.9,25.59,Medium
67.84,38.2,55.23,5.56,53.92,Medium
64.6,7.18,24.0,4.94,79.24,Low
66.95,31.14,20.0,6.29,83.16,Medium
88.44,41.58,43.53,3.63,26.61,Medium
80.12,40.11,55.59,6.48,52.53,High
119.87,52.36,25.14,6.63,34.03,High
68.86,56.73,17.98,5.34,49.01,Medium
5.69,32.88,1.35,6.05,41.12,Medium
17.97,46.19,24.88,4.93,49.82,Medium
81.02,24.79,12.3,6.68,68.24,Medium
43.34,43.19,17.43,5.86,71.02,Medium
35.08,15.31,35.91,7.99,51.2,Medium
89.69,36.63,16.96,8.25,9.22,Medium
57.51,0.0,19.17,6.05,69.94,Medium
99.67,56.22,8.89,6.42,81.75,Medium
40.03,35.64,4.59,6.86,71.77,Medium
58.2,28.16,3.76,6.78,27.26,Medium
58.56,25.91,9.87,8.11,40.06,Medium
102.47,4.6,38.72,6.81,64.62,Medium
57.79,73.27,57.97,8.23,38.83,Medium
54.03,21.31,41.79,6.91,51.11,High
87.3,0.0,25.68,8.05,57.45,Medium
52.85,31.54,49.63,7.69,35.26,Medium
24.11,17.69,39.58,7.62,30.9,Medium
69.88,32.22,9.31,6.45,57.33,Medium
50.01,57.48,38.18,7.15,32.86,Medium
63.25,0.0,1.96,6.48,14.88,Medium
29.0,31.86,29.15,4.86,77.34,Low
58.71,13.75,47.04,6.1,5.0,Medium
14.76,42.73,51.01,5.41,64.32,Medium
60.52,51.18,16.49,6.38,54.31,High
42.28,16.78,21.06,6.92,43.47,Medium
55.19,48.44,30.67,5.7,32.48,Medium
29.42,38.66,19.79,7.38,52.75,Medium
79.24,34.37,29.56,6.2,51.03,Medium
60.15,61.44,66.22,5.42,50.32,Medium
43.41,55.12,36.17,7.22,71.34,Medium
74.6,30.23,41.15,7.98,53.02,Medium
83.91,53.48,24.65,7.24,72.32,High
74.66,39.29,31.7,5.01,54.64,Medium
32.36,40.09,0.0,6.59,52.66,Medium
52.63,86.67,47.26,6.03,68.76,High
54.63,48.75,38.09,5.98,60.48,Medium
69.72,55.33,36.27,6.73,37.69,Medium
113.49,0.0,71.08,5.98,39.8,Medium
60.26,75.42,8.93,4.46,62.98,Medium
71.93,36.47,32.85,7.02,44.95,Medium
83.65,67.61,62.87,4.84,68.34,High
49.17,6.23,32.13,7.59,62.06,Medium
27.73,16.4,6.34,7.81,10.98,Low
91.99,0.0,12.99,6.85,5.0,Medium
83.24,0.75,46.33,8.02,33.69,Medium
58.99,41.02,0.0,4.24,44.93,Medium
85.48,47.55,0.0,3.65,46.98,Medium
56.02,29.27,47.28,7.61,20.04,Medium
88.08,14.88,43.71,6.3,38.24,Medium
93.38,7.55,36.62,7.49,32.36,Medium
60.37,33.46,59.99,5.86,67.92,Medium
40.24,20.37,5.38,9.0,57.58,Medium
77.56,24.09,15.38,7.03,56.87,Medium
29.99,27.58,62.79,6.91,53.59,Medium
106.62,26.86,36.77,7.37,30.34,Medium
93.28,36.73,54.97,8.63,55.78,Medium
29.27,96.74,15.4,8.35,38.42,Medium
45.99,42.14,27.86,5.55,58.7,Medium
50.57,41.62,38.55,5.76,35.27,Medium
8.2,36.32,74.23,6.3,53.84,Medium
46.12,44.55,38.64,7.65,58.66,Medium
79.79,20.62,1.58,7.64,95.0,Medium
45.99,26.08,27.59,7.48,67.24,Medium
89.29,0.0,29.1,6.91,70.56,Medium
109.72,29.57,8.41,6.11,95.0,Medium
11.7,68.98,35.21,6.58,56.22,Medium
17.83,45.0,32.42,7.78,26.76,Medium
46.56,57.6,28.9,6.19,49.36,High
32.09,13.17,22.06,7.6,55.82,Medium
26.65,44.24,66.94,7.02,69.81,High
21.96,15.25,24.57,6.52,54.76,Medium
100.99,76.62,20.84,6.52,71.82,High
54.13,39.44,21.05,7.03,33.89,Medium
43.4,34.68,45.66,7.2,37.41,Medium
91.63,21.83,37.85,5.8,74.77,Medium
68.99,27.04,39.97,5.37,45.04,Medium
0.0,23.22,0.0,6.11,16.28,Medium
61.97,5.82,36.78,4.76,52.85,Medium
72.92,9.83,49.08,8.12,52.9,Medium
93.16,0.0,59.58,6.1,70.51,Medium
53.79,15.59,12.11,8.85,36.69,Low
0.0,30.8,34.29,5.46,5.0,Low
105.02,61.69,60.87,5.65,49.62,High
132.3,12.98,17.05,6.84,48.33,Medium
24.72,16.54,68.31,5.59,29.72,Medium
89.47,18.91,15.74,4.75,53.49,Medium
40.44,38.84,23.5,4.76,51.21,Medium
62.84,22.54,2.49,7.21,6.22,Medium
66.02,49.9,38.0,5.74,49.76,Medium
68.07,38.45,0.66,6.61,49.72,Medium
47.8,23.04,5.89,6.14,34.85,Medium
53.69,61.72,29.58,6.38,40.54,High
99.76,29.68,0.0,8.17,53.68,Medium
63.28,24.48,0.92,5.94,51.21,Medium
25.17,16.8,61.29,6.55,44.43,Medium
66.91,0.0,44.57,6.22,83.72,Medium
81.92,10.58,56.28,6.17,18.76,Medium
98.74,23.38,0.0,7.62,28.48,Medium
107.76,34.9,60.28,6.14,57.14,High
60.77,67.81,54.91,5.79,55.39,High
78.3,0.0,18.39,6.47,42.96,Medium
89.1,7.02,6.24,5.09,32.97,Low
45.26,22.53,31.32,6.57,66.28,Medium
62.73,29.23,52.36,7.94,58.04,Medium
40.97,53.01,44.52,7.12,64.97,High
60.52,5.04,19.9,6.07,36.23,Medium
120.87,51.82,0.28,6.68,35.6,Medium
59.71,37.51,21.97,5.68,29.03,Medium
95.63,13.56,29.16,6.62,36.67,Medium
82.94,37.41,35.62,6.68,71.46,Medium
58.82,0.0,50.25,5.45,40.09,Medium
66.72,0.0,52.68,6.67,28.59,Medium
123.77,25.63,54.94,5.06,60.51,Medium
14.45,54.33,36.51,4.84,54.67,Medium
47.28,24.69,45.79,6.22,33.44,Medium
85.98,30.53,25.87,5.01,18.24,Medium
18.82,36.5,14.72,7.04,55.7,Medium
15.42,18.85,40.63,5.65,88.76,Medium
58.36,45.16,44.56,7.91,66.72,High
21.9,50.01,48.31,7.8,54.06,Medium
56.07,39.75,23.44,7.49,76.76,Medium
22.79,36.63,63.27,8.3,34.72,Medium
105.46,53.14,19.82,6.43,85.05,High
46.18,72.53,49.17,6.61,42.57,High
84.64,48.37,28.77,6.01,19.88,High
67.2,26.18,14.31,4.43,68.66,Medium
20.03,49.7,11.19,4.87,63.46,Medium
96.9,18.75,32.33,7.26,18.85,Medium
33.59,36.81,23.89,8.13,68.92,Medium
50.54,50.63,11.85,6.2,42.1,Medium
82.05,25.57,47.48,5.55,25.99,Medium
54.74,36.75,60.91,5.28,32.47,Medium
32.9,27.49,33.26,6.14,17.42,Medium
76.32,37.61,59.09,8.02,51.03,Medium
69.65,71.52,0.0,6.68,68.78,Medium
38.5,15.12,24.12,7.53,93.22,Medium
74.15,33.32,44.95,8.02,48.11,Medium
53.27,57.48,34.36,5.68,43.75,Medium
37.33,14.02,5.94,7.04,73.49,Low
19.46,29.8,6.57,5.94,24.18,Low
67.35,28.39,20.7,7.29,32.98,Medium
108.81,10.05,59.11,4.85,31.46,Medium
51.65,50.99,57.61,5.78,23.91,Medium
64.7,45.75,26.33,8.01,34.53,Medium
106.05,75.33,46.19,5.03,47.08,High
87.65,9.28,20.37,6.54,49.92,Medium
81.31,26.9,21.83,5.05,52.48,Medium
0.0,32.71,22.92,7.47,39.83,Medium
43.1,61.66,22.43,7.37,46.84,High
57.66,19.64,39.91,6.35,62.06,Medium
26.48,31.43,17.57,6.07,35.12,Medium
52.87,42.75,27.94,6.8,52.66,High
57.91,0.0,47.8,7.72,28.8,Medium
72.05,0.0,5.23,6.14,71.17,Medium
121.05,33.52,10.71,6.22,70.46,Medium
65.92,37.13,11.34,6.99,84.5,Medium
78.21,24.42,31.96,6.05,21.86,Medium
41.24,0.0,34.06,8.06,8.54,Low
42.34,40.0,47.35,7.36,51.33,High
40.08,24.5,22.7,8.11,31.32,Medium
49.43,35.36,27.56,5.97,53.12,Medium
66.65,22.46,26.02,6.76,39.85,Medium
78.05,27.29,32.16,6.63,50.41,Medium
81.05,30.97,27.33,6.47,14.03,Medium
86.66,23.26,36.73,7.57,37.26,Medium
9.56,26.21,58.36,6.71,19.9,Medium
52.67,19.67,53.6,6.23,48.62,High
67.38,18.26,38.75,6.46,63.69,Medium
85.27,36.98,28.3,6.71,89.49,Medium
95.7,50.3,47.57,6.75,52.34,High
44.52,55.67,7.08,7.46,58.1,Medium
88.88,20.26,7.89,7.4,31.99,Medium
42.05,55.29,2.44,6.52,65.15,Medium
11.6,27.13,50.81,6.63,69.99,Medium
89.2,17.87,17.82,6.87,46.78,High
101.6,1.41,37.91,6.35,47.75,Medium
68.03,49.87,44.82,8.42,47.0,Medium
86.65,0.21,4.65,4.75,51.98,Medium
39.91,24.23,3.31,8.62,45.03,Low
18.4,0.0,15.68,5.93,16.14,Low
92.33,10.96,33.91,6.94,68.84,Medium
43.34,23.67,5.34,7.3,40.16,Medium
44.38,47.3,65.03,7.49,32.43,High
84.76,30.34,36.84,6.91,64.65,High
85.53,14.24,39.12,6.4,60.01,Medium
48.71,52.61,34.97,6.26,44.07,High
10.31,61.79,22.75,5.92,61.01,Medium
51.84,4.6,2.99,6.69,95.0,Medium
63.93,40.03,38.65,5.93,22.15,Medium
121.26,55.51,32.47,5.98,35.98,Medium
82.98,20.57,37.4,5.41,31.31,Medium
75.54,50.3,31.1,6.28,69.39,High
69.61,32.86,11.45,7.1,55.0,Medium
62.89,53.47,45.12,7.58,35.54,Medium
83.18,46.32,10.1,6.69,53.11,High
87.13,65.49,7.68,5.26,67.2,Medium
32.62,16.66,20.73,6.86,61.73,Medium
62.03,38.55,62.7,5.0,55.67,Medium
75.55,6.6,50.83,6.85,54.9,Medium
43.35,7.02,50.86,6.47,48.58,Medium
6.6,27.76,17.33,5.86,38.7,Medium
56.03,7.98,12.11,7.5,55.74,Medium
62.59,8.03,49.61,6.63,75.34,Medium
74.78,36.98,32.84,5.54,78.74,Medium
97.29,37.48,50.91,6.1,72.35,High
78.63,29.06,15.04,4.31,50.77,Medium
120.48,17.12,0.0,6.04,69.72,Medium
95.15,48.82,10.62,5.63,65.2,Medium
81.76,6.39,24.8,5.84,53.67,Medium
74.5,26.33,16.51,7.41,36.7,Medium
84.67,33.17,25.42,7.59,87.92,Medium
12.9,1.52,14.28,6.71,64.57,Medium
37.37,2.62,18.19,4.86,34.05,Low
54.35,18.84,27.65,6.2,59.45,Medium
49.85,20.52,48.26,5.36,65.69,Medium
51.78,64.96,42.31,7.26,20.3,High
64.34,33.1,47.75,7.57,18.4,Medium
64.02,15.39,29.46,7.55,27.27,Medium
80.93,16.04,5.55,6.76,45.67,Medium
59.53,26.87,57.99,5.41,34.28,Medium
67.21,17.6,36.14,5.94,22.52,Medium
116.05,13.0,20.11,6.27,39.75,Medium
90.59,8.42,10.88,5.2,54.84,Medium
49.22,27.22,29.31,7.56,42.94,Medium
41.32,38.17,28.8,6.47,70.78,Medium
54.69,13.98,29.28,8.49,38.93,Low
18.41,25.48,16.72,6.32,69.37,Medium
38.65,44.68,42.19,6.24,31.04,Medium
50.82,10.58,5.66,5.27,75.52,Low
87.82,33.07,40.8,7.72,18.12,Medium
96.82,20.02,11.18,3.93,34.47,Medium
94.32,17.57,11.24,3.88,58.65,Medium
87.41,28.75,33.53,4.54,54.99,Medium
77.06,9.77,27.53,6.89,57.9,Medium
18.71,0.0,13.69,4.52,70.72,Low
80.05,8.99,38.65,7.49,66.18,Medium
24.46,52.88,44.82,5.16,12.79,Medium
68.1,50.93,50.65,6.63,53.91,High
52.05,0.44,60.95,5.59,51.19,Medium
19.2,42.16,20.07,7.8,42.07,Medium
34.29,31.21,29.14,6.92,36.54,Medium
34.01,36.04,34.69,7.05,53.35,Medium
53.89,33.04,13.2,4.9,64.91,Medium
52.2,32.09,41.54,4.33,41.36,Medium
93.99,13.16,25.93,6.21,73.66,Medium
114.02,40.6,8.06,6.92,52.62,High
21.33,57.34,48.08,7.27,46.1,High
48.08,8.29,43.0,8.15,71.99,Medium
41.07,52.6,52.08,6.2,62.26,High
0.0,0.0,60.2,5.97,35.41,Medium
